name,n,stem,Adams filtration,shift,tautorsion,h0info,h0target,h1info,h1target,h2info,h2target,h3info,h3target,E,H,P,C2,label,angle,drinfo,drtarget,nulldif,XX
52_0_1,52,0,1,0,0,,52_0_2,,,,52_3_2,,52_7_2,53_0_1,,,,0,,,,,XX
53_0_1,53,0,1,0,0,,53_0_2,,,,53_3_2,,53_7_2,54_0_1,,26_25_3,,0,,,,,XX
54_0_1,54,0,1,0,0,,54_0_2,,,,54_3_2,,54_7_2,55_0_1,,,,0,,,,,XX
55_0_1,55,0,1,0,0,,55_0_2,,,,55_3_2,,55_7_2,56_0_1,,,,0,,,,,XX
56_0_1,56,0,1,0,0,,56_0_2,,,,56_3_2,,56_7_2,57_0_1,,,,0,,,,,XX
57_0_1,57,0,1,0,0,,57_0_2,,,,57_3_2,,57_7_2,58_0_1,,28_27_3,,0,,,,,XX
58_0_1,58,0,1,0,0,,58_0_2,,,,58_3_2,,58_7_2,59_0_1,,,,0,,,,,XX
59_0_1,59,0,1,0,0,,59_0_2,,,,59_3_2,,59_7_2,60_0_1,,,,0,,,,,XX
60_0_1,60,0,1,0,0,,60_0_2,,,,60_3_2,,60_7_2,61_0_1,,,,0,,,,,XX
61_0_1,61,0,1,0,0,,61_0_2,,,,61_3_2,,61_7_2,62_0_1,,30_29_3,,0,,,,,XX
62_0_1,62,0,1,0,0,,62_0_2,,,,62_3_2,,62_7_2,63_0_1,,,,0,,,,,XX
63_0_1,63,0,1,0,0,,63_0_2,,,,63_3_2,,63_7_2,64_0_1,,,,0,,,,,XX
64_0_1,64,0,1,0,0,,64_0_2,,,,64_3_2,,64_7_2,65_0_1,,,,0,,,,,XX
65_0_1,65,0,1,0,0,,65_0_2,,,,65_3_2,,65_7_2,66_0_1,,32_31_3_2,,0,,,,,XX
66_0_1,66,0,1,0,0,,66_0_2,,,,66_3_2,,66_7_2,67_0_1,,,,0,,,,,XX
67_0_1,67,0,1,0,0,,67_0_2,,,,67_3_2,,67_7_2,68_0_1,,,,0,,,,,XX
68_0_1,68,0,1,0,0,,68_0_2,,,,68_3_2,,68_7_2,69_0_1,,,,0,,,,,XX
69_0_1,69,0,1,0,0,,69_0_2,,,,69_3_2,,69_7_2,70_0_1,,34_33_3_1,,0,,,,,XX
70_0_1,70,0,1,0,0,,70_0_2,,,,70_3_2,,70_7_2,71_0_1,,,,0,,,,,XX
71_0_1,71,0,1,0,0,,71_0_2,,,,71_3_2,,71_7_2,72_0_1,,,,0,,,,,XX
72_0_1,72,0,1,0,0,,72_0_2,,,,72_3_2,,72_7_2,73_0_1,,,,0,,,,,XX
73_0_1,73,0,1,0,0,,73_0_2,,,,73_3_2,,73_7_2,74_0_1,,36_35_3,,0,,,,,XX
74_0_1,74,0,1,0,0,,74_0_2,,,,74_3_2,,74_7_2,75_0_1,,,,0,,,,,XX
75_0_1,75,0,1,0,0,,75_0_2,,,,75_3_2,,75_7_2,76_0_1,,,,0,,,,,XX
76_0_1,76,0,1,0,0,,76_0_2,,,,76_3_2,,76_7_2,77_0_1,,,,0,,,,,XX
77_0_1,77,0,1,0,0,,77_0_2,,,,77_3_2,,77_7_2,78_0_1,,38_37_3_1,,0,,,,,XX
78_0_1,78,0,1,0,0,,78_0_2,,,,78_3_2,,78_7_2,79_0_1,,,,0,,,,,XX
79_0_1,79,0,1,0,0,,79_0_2,,,,79_3_2,,79_7_2,80_0_1,,,,0,,,,,XX
80_0_1,80,0,1,0,0,,,,,,,,,81_0_1,,,,0,,,,,XX
81_0_1,81,0,1,0,0,,,,,,,,,82_0_1,,40_39_3_1,,0,,,,,XX
82_0_1,82,0,1,0,0,,,,,,,,,83_0_1,,,,0,,,,,XX
83_0_1,83,0,1,0,0,,,,,,,,,84_0_1,,,,0,,,,,XX
84_0_1,84,0,1,0,0,,,,,,,,,85_0_1,,,,0,,,,,XX
85_0_1,85,0,1,0,0,,,,,,,,,86_0_1,,42_41_3_1,,0,,,,,XX
86_0_1,86,0,1,0,0,,,,,,,,,87_0_1,,,,0,,,,,XX
87_0_1,87,0,1,0,0,,,,,,,,,88_0_1,,,,0,,,,,XX
88_0_1,88,0,1,0,0,,,,,,,,,89_0_1,,,,0,,,,,XX
89_0_1,89,0,1,0,0,,,,,,,,,90_0_1,,44_43_3,,0,,,,,XX
90_0_1,90,0,1,0,0,,,,,,,,,91_0_1,,,,0,,,,,XX
91_0_1,91,0,1,0,0,,,,,,,,,92_0_1,,,,0,,,,,XX
92_0_1,92,0,1,0,0,,,,,,,,,93_0_1,,,,0,,,,,XX
93_0_1,93,0,1,0,0,,,,,,,,,94_0_1,,46_45_3_1,,0,,,,,XX
94_0_1,94,0,1,0,0,,,,,,,,,95_0_1,,,,0,,,,,XX
95_0_1,95,0,1,0,0,,,,,,,,,96_0_1,,,,0,,,,,XX
96_0_1,96,0,1,0,0,,,,,,,,,97_0_1,,,,0,,,,,XX
97_0_1,97,0,1,0,0,,,,,,,,,98_0_1,,48_47_3,,0,,,,,XX
98_0_1,98,0,1,0,0,,,,,,,,,99_0_1,,,,0,,,,,XX
99_0_1,99,0,1,0,0,,,,,,,,,100_0_1,,,,0,,,,,XX
100_0_1,100,0,1,0,0,,,,,,,,,101_0_1,,,,0,,,,,XX
101_0_1,101,0,1,0,0,,,,,,,,,102_0_1,,50_49_3,,0,,,,,XX
102_0_1,102,0,1,0,0,,,,,,,,,103_0_1,,,,0,,,,,XX
103_0_1,103,0,1,0,0,,,,,,,,,104_0_1,,,,0,,,,,XX
104_0_1,104,0,1,0,0,,,,,,,,,105_0_1,,,,0,,,,,XX
